Index,Verb.IMPF,VerbClass,Spanish,Example,Verb.IRR,Verb.PFV
472,janduvahá yo,vt,NA,NA,curamos javahá yo vt hacemos naquihín vaha yo vt guardamos natuhún vaha yo vi placticamos en mixteco nduvahá yo vi nos sanamos tuhun cahan vaha s el idioma mixteco tsiñí vaha yo vi entendemos mixteco vaha iñi (váhá íñ1) adj amistoso,de buen corazón Tyixi yu vaha xaan iñi ña tsihin nyivi. Mi tía es de buen corazón con la gente.
472,janduvahá yo vt curamos javahá yo,vt,NA,NA,hacemos naquihín vaha yo vt guardamos natuhún vaha yo vi placticamos en mixteco nduvahá yo vi nos sanamos tuhun cahan vaha s el idioma mixteco tsiñí vaha yo vi entendemos mixteco vaha iñi (váhá íñ1) adj amistoso,de buen corazón Tyixi yu vaha xaan iñi ña tsihin nyivi. Mi tía es de buen corazón con la gente.
472,janduvahá yo vt curamos javahá yo vt hacemos naquihín vaha yo,vt,NA,NA,guardamos natuhún vaha yo vi placticamos en mixteco nduvahá yo vi nos sanamos tuhun cahan vaha s el idioma mixteco tsiñí vaha yo vi entendemos mixteco vaha iñi (váhá íñ1) adj amistoso,de buen corazón Tyixi yu vaha xaan iñi ña tsihin nyivi. Mi tía es de buen corazón con la gente.
472,janduvahá yo vt curamos javahá yo vt hacemos naquihín vaha yo vt guardamos natuhún vaha yo,vi,NA,NA,placticamos en mixteco nduvahá yo vi nos sanamos tuhun cahan vaha s el idioma mixteco tsiñí vaha yo vi entendemos mixteco vaha iñi (váhá íñ1) adj amistoso,de buen corazón Tyixi yu vaha xaan iñi ña tsihin nyivi. Mi tía es de buen corazón con la gente.
472,janduvahá yo vt curamos javahá yo vt hacemos naquihín vaha yo vt guardamos natuhún vaha yo vi placticamos en mixteco nduvahá yo,vi,NA,NA,nos sanamos tuhun cahan vaha s el idioma mixteco tsiñí vaha yo vi entendemos mixteco vaha iñi (váhá íñ1) adj amistoso,de buen corazón Tyixi yu vaha xaan iñi ña tsihin nyivi. Mi tía es de buen corazón con la gente.
472,janduvahá yo vt curamos javahá yo vt hacemos naquihín vaha yo vt guardamos natuhún vaha yo vi placticamos en mixteco nduvahá yo vi nos sanamos tuhun cahan vaha s el idioma mixteco tsiñí vaha yo,vi,NA,NA,entendemos mixteco vaha iñi (váhá íñ1) adj amistoso,de buen corazón Tyixi yu vaha xaan iñi ña tsihin nyivi. Mi tía es de buen corazón con la gente.
473,vatsi yo 1.,vi,NA,NA,venimos Ndatu xaan yu tsi un,"soco ña quitsi un. Te esperé mucho tiempo, pero no viniste. 2. vaux venimos Vatsí ra can vatsí jata ra nyica. El viene a comprar mameyes."
473,"vatsi yo 1. vi venimos Ndatu xaan yu tsi un, soco ña quitsi un. Te esperé mucho tiempo, pero no viniste. 2.",vaux,NA,NA,NA,venimos Vatsí ra can vatsí jata ra nyica. El viene a comprar mameyes.
474,vatsi núhu yó,vi,"regresamos, venimos otra vez (a la casa)",Tsa tuvi ñi cuahán yu ta tsa cuñí cuaa vatsí nuhu yu. Amaneciendo voy y oscureciendo regreso.,cuá quitsi núhu yó,quitsi núhu yó
475,vatsi ndaca yo,vt,traemos,"Maa ñi ihya vatsí ndaca ra tsa tsii ra tun tsa vatsí tucu ra. Cuando él viene, siempre trae sus cosas aquí.",cua quitsi ndacá yo,quitsi ndacaá yo; imperativo: ndaca
476,vatsi nyico yó,vi,"regresamos, venimos otra vez",Tsa vatsí nyico ndo. Ya regresan.,cuá quitsi nyico yó,quitsi nyico yó
477,"ve pron él, ella, lo, la, le, se (indica cariño) Quihin nyaa",ve,NA,NA,NA,Lina paan ra lee. Delfina le quitó el pan al bebé.
478,ve naha,ve,NA,NA,pron ellos,ellas (indica cariño)
479,"ve naha ve, naha ve,",ve,NA,NA,naha (ve naha ve,"naha ve, ve naha) pron ellos, ellas, los, las, les, se (indica cariño) Nduvi taahan ve nyihi naha ve cuahán scuela jahá yu. Mandé a los dos chiquillos a la escuela."
479,"ve naha ve, naha ve,",ve,NA,NA,naha) pron ellos,"ellas, los, las, les, se (indica cariño) Nduvi taahan ve nyihi naha ve cuahán scuela jahá yu. Mandé a los dos chiquillos a la escuela."
479,"ve naha ve, naha ve, ve naha pron ellos, ellas, los, las, les, se (indica cariño) Nduvi taahan",ve,NA,NA,NA,nyihi naha ve cuahán scuela jahá yu. Mandé a los dos chiquillos a la escuela.
479,"ve naha ve, naha ve, ve naha pron ellos, ellas, los, las, les, se (indica cariño) Nduvi taahan ve nyihi naha",ve,NA,NA,NA,cuahán scuela jahá yu. Mandé a los dos chiquillos a la escuela.
480,"vityin vityin adv ahorita, inmediatemente Cua nyehe tyin tsiihí ndivi jana un vityin vityin ihya. Ahorita mismo",ve,NA,NA,a ver,porque se está muriendo tu gallina.
481,cuxaán yo,vi,NA,NA,NA,estamos enojados; regañamos
482,nduxaán yo,vi,NA,NA,NA,nos ponemos enojados
483,xátyá yó,vt,1. sacamos punta,"Cuhva nuu navaxa un tsi yu xatya yu nuu lapi yu. Préstame tu navaja para sacarle punta a mi lápiz. xayi  2. rebajamos Yutun ticoo ihya xatyá yu tyin cahnu xaan tun. Estoy rebajando esta viga, porque está muy gruesa. 3. rasuramos Ndihi quivi maa xatyá ra Cuse ixi yuhu ra. José rasura su bigote diario.",cuá xátya yó,xatya yó
484,tyihí xeehe yo,vt,NA,NA,escondemos nyií xeehe yo vi estamos escondidos xehe (xehe) s el anillo xembulu (xembulú) s el cuento,el ejemplo xicama (xicama) s la jícama yoho xicama s la mata de jícama xicayi (xicayi) s los frijoles molidos y cocidos Asín xaan xicayi javaha sihi un icu. Estaban muy sabrosos los frijoles molidos que hizo tu mamá ayer. Sinón ndutyi xicayi
484,tyihí xeehe yo vt escondemos nyií xeehe yo,vi,NA,NA,estamos escondidos xehe (xehe) s el anillo xembulu (xembulú) s el cuento,el ejemplo xicama (xicama) s la jícama yoho xicama s la mata de jícama xicayi (xicayi) s los frijoles molidos y cocidos Asín xaan xicayi javaha sihi un icu. Estaban muy sabrosos los frijoles molidos que hizo tu mamá ayer. Sinón ndutyi xicayi
485,xícó yo,vt,vendemos ¿Naa cua xico un nuyahvi?,Qué vas a vender en la plaza?,cuá xicó yo,xicó yo
486,jaxiín yo,vt,NA,NA,NA,nos quitamos
487,tsacá yaa yo,vt,NA,NA,NA,lamemos tyayaá yo vt probamos (con la lengua)
487,tsacá yaa yo vt lamemos tyayaá yo,vt,NA,NA,NA,probamos (con la lengua)
488,"yacuá adj chueco Jandundoo varilla ihya tsibin martillu tyin yacua xaan cam. Enderece la varilla con el martillo, porque está muy chueca. Sinón yoho yacuin (yacuin) s el armadillo yahá yo (yáha yo)",vt,pasamos,Nyahyu xaan nu yahá ndi nduhva ican. En ese llano por donde pasamos hay mucho lodo.,cua yaha yo,yaha yo
489,cuyahví tsi,vi,NA,NA,NA,se vende
490,tyaá yahvi yo,vt,NA,NA,NA,hacemos caso; obedecemos; respetamos
491,"yahmá s la colmena, el panal  yata (yáta) s el azadón, la coa yahmi (yáhmi) s el camote yatán tsi (yátán tsí)",vi,NA,NA,se tuesta,se yahmi cuitsin (yáhmi cuitsin) s el dora Vaha xaan yatan nyayu ityi camote de palo blanco (un camote nyaa ñii can. La cecina se tostó pequeño y blanco) muy bien.
492,cuyatyí yo,vi,NA,NA,NA,tenemos tiempo yatyin (yatyin) adv cerca Yatyin cuii ñi yuhu xahva nyaá vehe un. Tu casa está muy cerca de la orilla de la barranca.
493,yfhí tsí,vi,NA,NA,1. está adentro,"está en Quihin paan yihfí tsitsi tsicoho can catsi un. Toma los panes que están en la bandeja para que comas.  2. está alrededor, está en Jataya luxu  cinturón yihí tsitsi ra lee can, tyin ñihi xaan yihí can tsitsi ra. Afloje un poco el cinturón que tiene el niño en el estómago porque mucho. 3. calzamos, nos vestimos (zapatos, huaraches) (lit: nuestro pie está en) le aprieta"
494,tsatsí yihi yo,vt,NA,NA,NA,mordemos
495,yfhí ndúvi tsi,vi,NA,"está alrededor, esta en",cuá quihi ndúvi tsi,"yiht nduvi tsi, tsiquihi nduvi tsi; habitual: yih+ nduvi tsi"
496,yóñi yo,ve,NA,NA,no estamos Quitsi intuhun ra nanducú tsi yu ñuu ihya ta yoñi yu. Vino un hombre a buscarme aquí,"al pueblo, pero yo no estaba."
497,yósó yó,vi,NA,estamos montados ¿Yoo sehe tsi tsa nyihi cuahán yosó cuayu can? ¿De quién son esos niños que van montados en el caballo?,cuá cóosó yo,y0so yo
498,yúcú yó,vi,"estamos en un lugar, hay en un lugar (siempre en plural)",Yucú cuaha yaha cuii tsihin tinana tsitsi marali yu; vaha xaan taxin catsi yo. En mi morral hay muchos chiles verdes y jitomates; están buenos para la salsa.,cuá cúyúcú yo,tsiyúcú yo
499,"yuuhví yo ví tenemos miedo Cuhva nyehe yu ndicaha can, nayuhvi xaan yu. Cuando",vi,NA,NA,NA,al león me dio mucho miedo.
